ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE
Zaragoza,PH034932000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Angeles City,PH035401000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Apalit,PH035402000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Arayat,PH035403000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Bacolor,PH035404000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Candaba,PH035405000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Floridablanca,PH035406000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Guagua,PH035407000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Lubao,PH035408000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Mabalacat City,PH035409000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Macabebe,PH035410000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Magalang,PH035411000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Masantol,PH035412000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Mexico,PH035413000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Minalin,PH035414000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Porac,PH035415000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
City of San Fernando,PH035416000,,Capital,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
San Luis,PH035417000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
San Simon,PH035418000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Santa Ana,PH035419000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Santa Rita,PH035420000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Santo Tomas,PH035421000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Sasmuan,PH035422000,,Sexmoan,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Anao,PH036901000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Bamban,PH036902000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Camiling,PH036903000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Capas,PH036904000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Concepcion,PH036905000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Gerona,PH036906000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
La Paz,PH036907000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Mayantoc,PH036908000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Moncada,PH036909000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Paniqui,PH036910000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Pura,PH036911000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Ramos,PH036912000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
San Clemente,PH036913000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
San Manuel,PH036914000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Santa Ignacia,PH036915000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
City of Tarlac,PH036916000,,Capital,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Victoria,PH036917000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
San Jose,PH036918000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Botolan,PH037101000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Cabangan,PH037102000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Candelaria,PH037103000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Castillejos,PH037104000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Iba,PH037105000,,Capital,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Masinloc,PH037106000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Olongapo City,PH037107000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Palauig,PH037108000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
San Antonio,PH037109000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
San Felipe,PH037110000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
San Marcelino,PH037111000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
San Narciso,PH037112000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Santa Cruz,PH037113000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Subic,PH037114000,,,,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Baler,PH037701000,,Capital,,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Casiguran,PH037702000,,,,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Dilasag,PH037703000,,,,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Dinalungan,PH037704000,,,,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Dingalan,PH037705000,,,,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Dipaculao,PH037706000,,,,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Maria Aurora,PH037707000,,,,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
San Luis,PH037708000,,,,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Agoncillo,PH041001000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Alitagtag,PH041002000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Balayan,PH041003000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Balete,PH041004000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Batangas City,PH041005000,,Capital,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Bauan,PH041006000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Calaca,PH041007000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Calatagan,PH041008000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Cuenca,PH041009000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Ibaan,PH041010000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Laurel,PH041011000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Lemery,PH041012000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Lian,PH041013000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Lipa City,PH041014000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Lobo,PH041015000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Mabini,PH041016000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Malvar,PH041017000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Mataasnakahoy,PH041018000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Nasugbu,PH041019000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Padre Garcia,PH041020000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Rosario,PH041021000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
San Jose,PH041022000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
San Juan,PH041023000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
San Luis,PH041024000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
San Nicolas,PH041025000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
San Pascual,PH041026000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Santa Teresita,PH041027000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Santo Tomas,PH041028000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Taal,PH041029000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Talisay,PH041030000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
City of Tanauan,PH041031000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Taysan,PH041032000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Tingloy,PH041033000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Tuy,PH041034000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Alfonso,PH042101000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Amadeo,PH042102000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Bacoor City,PH042103000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Carmona,PH042104000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Cavite City,PH042105000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
City of Dasmariñas,PH042106000,City of Dasmarinas,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
General Emilio Aguinaldo,PH042107000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
City of General Trias,PH042108000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Imus City,PH042109000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Indang,PH042110000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Kawit,PH042111000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Magallanes,PH042112000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Maragondon,PH042113000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Mendez,PH042114000,,Mendez-Nuñez,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Naic,PH042115000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Noveleta,PH042116000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Rosario,PH042117000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Silang,PH042118000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Tagaytay City,PH042119000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Tanza,PH042120000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Ternate,PH042121000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Trece Martires City,PH042122000,,Capital,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Gen. Mariano Alvarez,PH042123000,,,,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Alaminos,PH043401000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Bay,PH043402000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
City of Biñan,PH043403000,City of Binan,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Cabuyao City,PH043404000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
City of Calamba,PH043405000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Calauan,PH043406000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Cavinti,PH043407000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Famy,PH043408000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Kalayaan,PH043409000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Liliw,PH043410000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Los Baños,PH043411000,Los Banos,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Luisiana,PH043412000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Lumban,PH043413000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Mabitac,PH043414000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Magdalena,PH043415000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Majayjay,PH043416000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Nagcarlan,PH043417000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Paete,PH043418000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Pagsanjan,PH043419000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Pakil,PH043420000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Pangil,PH043421000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Pila,PH043422000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Rizal,PH043423000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
San Pablo City,PH043424000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
City of San Pedro,PH043425000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Santa Cruz,PH043426000,,Capital,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Santa Maria,PH043427000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
City of Santa Rosa,PH043428000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Siniloan,PH043429000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Victoria,PH043430000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Agdangan,PH045601000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Alabat,PH045602000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Atimonan,PH045603000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Buenavista,PH045605000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Burdeos,PH045606000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Calauag,PH045607000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Candelaria,PH045608000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Catanauan,PH045610000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Dolores,PH045615000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
General Luna,PH045616000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
General Nakar,PH045617000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Guinayangan,PH045618000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Gumaca,PH045619000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Infanta,PH045620000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Jomalig,PH045621000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Lopez,PH045622000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Lucban,PH045623000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Lucena City,PH045624000,,Capital,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Macalelon,PH045625000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Mauban,PH045627000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Mulanay,PH045628000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Padre Burgos,PH045629000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Pagbilao,PH045630000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Panukulan,PH045631000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Patnanungan,PH045632000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Perez,PH045633000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Pitogo,PH045634000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Plaridel,PH045635000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Polillo,PH045636000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Quezon,PH045637000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Real,PH045638000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Sampaloc,PH045639000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
San Andres,PH045640000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
San Antonio,PH045641000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
San Francisco,PH045642000,,Aurora,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
San Narciso,PH045644000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Sariaya,PH045645000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Tagkawayan,PH045646000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
City of Tayabas,PH045647000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Tiaong,PH045648000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Unisan,PH045649000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Angono,PH045801000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
City of Antipolo,PH045802000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Baras,PH045803000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Binangonan,PH045804000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Cainta,PH045805000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Cardona,PH045806000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Jala-Jala,PH045807000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Rodriguez,PH045808000,,Montalban,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Morong,PH045809000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Pililla,PH045810000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
San Mateo,PH045811000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Tanay,PH045812000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Taytay,PH045813000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Teresa,PH045814000,,,,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Bacacay,PH050501000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Camalig,PH050502000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Daraga,PH050503000,,Locsin,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Guinobatan,PH050504000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Jovellar,PH050505000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Legazpi City,PH050506000,,Capital,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Libon,PH050507000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
City of Ligao,PH050508000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Malilipot,PH050509000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Malinao,PH050510000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Manito,PH050511000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Oas,PH050512000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Pio Duran,PH050513000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Polangui,PH050514000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Rapu-Rapu,PH050515000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Santo Domingo,PH050516000,,Libog,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
City of Tabaco,PH050517000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Tiwi,PH050518000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Basud,PH051601000,,,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Capalonga,PH051602000,,,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Daet,PH051603000,,Capital,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
San Lorenzo Ruiz,PH051604000,,Imelda,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Jose Panganiban,PH051605000,,,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Labo,PH051606000,,,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Mercedes,PH051607000,,,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Paracale,PH051608000,,,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
San Vicente,PH051609000,,,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Santa Elena,PH051610000,,,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Talisay,PH051611000,,,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Vinzons,PH051612000,,,,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Baao,PH051701000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Balatan,PH051702000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Bato,PH051703000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Bombon,PH051704000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Buhi,PH051705000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Bula,PH051706000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Cabusao,PH051707000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Calabanga,PH051708000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Camaligan,PH051709000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Canaman,PH051710000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Caramoan,PH051711000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Del Gallego,PH051712000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Gainza,PH051713000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Garchitorena,PH051714000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Goa,PH051715000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Iriga City,PH051716000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Lagonoy,PH051717000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Libmanan,PH051718000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Lupi,PH051719000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Magarao,PH051720000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Milaor,PH051721000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Minalabac,PH051722000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Nabua,PH051723000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Naga City,PH051724000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Ocampo,PH051725000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Pamplona,PH051726000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Pasacao,PH051727000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Pili,PH051728000,,Capital,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Presentacion,PH051729000,,Parubcan,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Ragay,PH051730000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Sagñay,PH051731000,Sagnay,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
San Fernando,PH051732000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
San Jose,PH051733000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Sipocot,PH051734000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Siruma,PH051735000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Tigaon,PH051736000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Tinambac,PH051737000,,,,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Bagamanoc,PH052001000,,,,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Baras,PH052002000,,,,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Bato,PH052003000,,,,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Caramoran,PH052004000,,,,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Gigmoto,PH052005000,,,,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Pandan,PH052006000,,,,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Panganiban,PH052007000,,Payo,,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
San Andres,PH052008000,,Calolbon,,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
San Miguel,PH052009000,,,,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Viga,PH052010000,,,,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Virac,PH052011000,,Capital,,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Aroroy,PH054101000,,,,Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH
Baleno,PH054102000,,,,Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH
Balud,PH054103000,,,,Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH
Batuan,PH054104000,,,,Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH
